title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
Sea Tomorrow,2016,"['Documentary', 'Back to top']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt4870814/
Pessimist,2015,"['Back to top', 'Drama']",7.9,N/A,"$11,499",N/A,N/A,https://www.imdb.com/title/tt5068918/
Nochnoy Bog,2018,"['Back to top', 'Drama']",7.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8589440/
Kayrat-chempion. Devstvennik #1,2009,"['Back to top', 'Comedy']",4.5,N/A,N/A,"$200,000 (estimated)",N/A,https://www.imdb.com/title/tt2137038/
Va-bank,2019,"['Back to top', 'Comedy']",7.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt19895636/
Tak sebe zima,2018,"['Back to top', 'Thriller', 'Drama']",7.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt7390072/
The Road to Mother,2016,"['War', 'Back to top', 'Drama', 'History']",7.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt4470016/
Pochty Macho,2022,"['Back to top', 'Comedy']",5.2,N/A,$630,N/A,N/A,https://www.imdb.com/title/tt13460814/
The Composer,2019,"['Back to top', 'Drama', 'Biography', 'History']",6.3,N/A,"$649,703",N/A,N/A,https://www.imdb.com/title/tt7014404/
Diamond Cartel,2015,"['Back to top', 'Action', 'Adventure']",3.0,N/A,N/A,"$7,000,000 (estimated)",N/A,https://www.imdb.com/title/tt2538778/
Akim,2019,"['Back to top', 'Comedy']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt12112310/
The River,2018,"['Back to top', 'Drama']",6.6,N/A,$748,N/A,N/A,https://www.imdb.com/title/tt7111818/
The Market: A Tale of Trade,2008,"['Back to top', 'Drama']",6.9,N/A,"$100,076","€1,200,000 (estimated)",N/A,https://www.imdb.com/title/tt1286165/
The Polygon,2014,"['Documentary', 'Back to top', 'History']",7.5,N/A,N/A,"$400,000 (estimated)",N/A,https://www.imdb.com/title/tt2288159/
Akyn,2021,"['Back to top', 'Drama']",6.0,N/A,"$2,378",N/A,N/A,https://www.imdb.com/title/tt13454112/
Milana,2011,"['Documentary', 'Back to top']",7.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt13386250/
The Gentle Indifference of the World,2018,"['Back to top', 'Drama']",6.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8269378/
Biznesmeny,2018,"['Back to top', 'Drama']",6.3,N/A,"$16,584",N/A,N/A,https://www.imdb.com/title/tt8902814/
Village Escape. Love Affair,2015,"['Back to top', 'Comedy']",6.3,N/A,N/A,"$200,000 (estimated)",N/A,https://www.imdb.com/title/tt6020322/
Okhotnik,2004,"['Back to top', 'Drama']",6.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0420038/
Songs from the Southern Seas,2008,"['Back to top', 'Drama']",6.7,N/A,N/A,"$2,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0959381/
Reketir 2: Vozmezdie,2015,"['Back to top', 'Drama', 'Action', 'Crime']",5.9,N/A,N/A,"$700,000 (estimated)",N/A,https://www.imdb.com/title/tt4293004/
Jaws 19,2015,"['Horror', 'Thriller', 'Dark Comedy', 'Supernatural Horror', 'Back to top', 'Monster Horror', 'B-Action', 'B-Horror', 'Sci-Fi', 'Splatter Horror', 'Action']",3.6,N/A,N/A,RUR 100 (estimated),N/A,https://www.imdb.com/title/tt5033000/
