title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
"My Teacher, Mr. Kim",2003,"['Back to top', 'Drama', 'Comedy']",6.4,N/A,"$17,778",N/A,N/A,https://www.imdb.com/title/tt0358691/
General Hospital: The Movie - A Thousand Days,2000,"['Back to top', 'Romance']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0305699/
Hammerboy,2003,"['Adventure', 'Anime', 'Back to top', 'Sci-Fi', 'Animation', 'Action']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0418867/
The Warrior,2001,"['Wuxia', 'History', 'Drama', 'Back to top', 'War', 'Action']",7.1,N/A,"$945,922","BND 8,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0275083/
The Classic,2003,"['Tragedy', 'Tragic Romance', 'Drama', 'Back to top', 'Romance', 'Period Drama']",7.7,N/A,"$828,261",N/A,N/A,https://www.imdb.com/title/tt0348568/
Blue,2003,"['Back to top', 'Action', 'Drama', 'War']",5.4,N/A,"$997,715",N/A,N/A,https://www.imdb.com/title/tt0348551/
A Day,2001,"['Back to top', 'Drama', 'Romance']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0291847/
My Right to Ravage Myself,2003,"['Back to top', 'Drama']",6.5,N/A,"$8,760",N/A,N/A,https://www.imdb.com/title/tt0422805/
R.U. Ready?,2002,"['Back to top', 'Fantasy', 'Adventure']",5.0,N/A,"$245,148",N/A,N/A,https://www.imdb.com/title/tt0323753/
Please Teach Me English,2003,"['Romance', 'Back to top', 'Comedy']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0381716/
Oh! Happy Day,2003,"['Comedy', 'Back to top', 'Drama', 'Satire', 'Romance']",5.2,N/A,N/A,"$5,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0357978/
Ku qi de nü ren,2002,"['Back to top', 'Drama', 'Comedy']",7.0,N/A,"$422,048",N/A,N/A,https://www.imdb.com/title/tt0317269/
Mr. Handy,2004,"['Romance', 'Back to top', 'Comedy']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0398045/
Crazy First Love,2003,"['Back to top', 'Romance', 'Drama', 'Comedy']",5.4,N/A,"$361,988",N/A,N/A,https://www.imdb.com/title/tt0364262/
The First Amendment of Korea,2003,"['Back to top', 'Drama', 'Comedy']",5.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0353328/
Too Young to Die,2002,"['Back to top', 'Drama', 'Romance']",6.5,N/A,"$352,463",N/A,N/A,https://www.imdb.com/title/tt0333692/
Who Are You?,2002,"['Romance', 'Back to top', 'Comedy']",6.2,N/A,"$831,286",N/A,N/A,https://www.imdb.com/title/tt0320763/
Tube,2003,"['Thriller', 'Back to top', 'Drama', 'Action', 'Crime']",5.4,N/A,"$78,162",N/A,N/A,https://www.imdb.com/title/tt0339824/
Guns & Talks,2001,"['Back to top', 'Action', 'Drama', 'Comedy']",6.8,N/A,"$54,185",N/A,N/A,https://www.imdb.com/title/tt0295368/
Plastic Tree,2003,"['Back to top', 'Romance', 'Drama', 'Horror']",6.1,N/A,"$6,320",N/A,N/A,https://www.imdb.com/title/tt0359841/
Run 2 U,2003,"['Back to top', 'Drama', 'Crime', 'Romance']",4.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0355972/
Once Upon a Time in High School: The Spirit of Jeet Kune Do,2004,"['Back to top', 'Action', 'Drama', 'History']",7.4,N/A,"$5,271",N/A,N/A,https://www.imdb.com/title/tt0390205/
Die Bad,2000,"['Back to top', 'Drama', 'Crime']",6.6,N/A,N/A,"$800,000 (estimated)",N/A,https://www.imdb.com/title/tt0267622/
Sympathy for Mr. Vengeance,2002,"['Back to top', 'Thriller', 'Drama', 'Crime']",7.5,"$45,289","$2,046,923","$4,000,000 (estimated)","$9,827",https://www.imdb.com/title/tt0310775/
Project X,2003,"['Back to top', 'Drama', 'Action', 'Crime']",5.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt4035840/
Flower Island,2001,"['Back to top', 'Drama']",6.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0302602/
Resurrection of the Little Match Girl,2002,"['Back to top', 'Action', 'Sci-Fi', 'Comedy']",5.5,N/A,"$791,247","$11,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0327169/
Paradise Villa,2001,"['Back to top', 'Thriller', 'Drama']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0294832/
Asako in Ruby Shoes,2000,"['Back to top', 'Drama', 'Romance']",6.5,N/A,N/A,"$2,000,000 (estimated)",N/A,https://www.imdb.com/title/tt0300525/
Wanee & Junah,2001,"['Back to top', 'Drama', 'Romance']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0300633/
The Greatest Expectation,2003,"['Back to top', 'Comedy']",5.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0381711/
Sorum,2001,"['Back to top', 'Mystery', 'Drama', 'Horror']",5.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0294929/
Scent of Love,2003,"['Back to top', 'Drama', 'Romance']",6.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0349517/
Another Public Enemy,2005,"['Back to top', 'Action', 'Drama']",6.0,N/A,"$23,248,003",N/A,N/A,https://www.imdb.com/title/tt0433328/
Ipsae,2001,"['Back to top', 'Romance']",6.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0435067/
100 Days with Mr. Arrogant,2004,"['Romance', 'Back to top', 'Comedy']",6.0,N/A,N/A,"$3,200,000 (estimated)",N/A,https://www.imdb.com/title/tt0395677/
Galgali familywa Dracula,2003,"['Back to top', 'Family', 'Comedy']",4.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0374668/
Twenty,2001,"['Back to top', 'Drama']",4.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0425444/
Last Scene,2002,"['Back to top', 'Drama', 'Comedy']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0347386/
